n, RBT(findmin), RBT(findmax), RBT(findnone), RBT(findmiddle), BPlusT(findmin), BPlusT(findmax), BPlusT(findnone), BPlusT(findmiddle), BST(findmin), BST(findmax), BST(findnone), BST(findmiddle) 
1024,23308,7111,3951,18962,45432,36741,8692,37135,3556,22123,28444,14222
2048,4346,5926,3161,10272,2765,1975,2370,12247,1185,43062,22123,27655
4096,5530,7901,5531,7901,3160,1580,1975,20543,1975,90864,43852,48987
8192,7901,668049,9086,22519,5136,1975,2370,15407,1185,165531,114567,118914
16384,6717,9086,4346,9481,6321,2371,3160,16197,1975,396642,171457,254815
32768,7506,4740,4346,1061530,8296,3950,5136,22914,5136,1199407,567703,604840
65536,26469,13037,13037,28840,10272,3950,5136,23703,16987,590222,259555,1294221
131072,6716,2765,4346,8691,25284,1975,2765,18963,3161,512790,282074,299456
262144,13432,8692,9087,14222,12642,8296,9087,23703,7111,963950,455901,481975
524288,6321,2766,2766,8692,56099,25679,29630,26469,791,1531654,752987,761283
1048576,5530,2765,3161,26864,9087,1580,3951,20938,395,5138961,2219851,1784098
2097152,24889,3160,3951,28445,7507,1580,3951,22518,1580,5937775,3103999,3573332
4194304,5926,3161,1975,9877,5926,1580,3950,28444,5531,12297871,6321775,7367503
8388608,5531,2765,2370,9876,6716,1975,4346,26469,5531,24168287,12079402,12967501
16777216,9877,3161,1975,10667,5926,1976,3950,32000,4346,46274747,22876830,23975892
